"","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","Solibacteres","Alphaproteobacteria","Bacilli","Negativicutes","Flavobacteriia","Erysipelotrichia","Fusobacteriia","Deinococci","Sphingobacteriia","Coriobacteriia","Mollicutes","Melainabacteria","Deltaproteobacteria","Subgroup_6","Epsilonproteobacteria","Synergistia","Verrucomicrobia_Incertae_Sedis","Lentisphaeria","Methanobacteria","Planctomycetacia","Chloroplast","Cytophagia","Thermoplasmata","Thermoleophilia","Blastocatellia","Verrucomicrobiae"
"X206657",0.00868075830121842,0.4018840748958698,0.41013663435711784,0.000973179181750944,3.892716727003776e-05,0.0,0.0034645178870333607,0.0018295768616917747,0.0049826774105648335,0.0,0.0008953248472108685,0.0,7.785433454007552e-05,0.0,0.0003503445054303398,0.00015570866908015105,0.01163922301374129,0.003970571061543852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509206275059364
"X206703",0.00910960916838084,0.34728181016749926,0.5416985013223626,0.042785777255362915,0.0007640317367029092,0.0,0.00023508668821627975,0.010578900969732588,0.035733176608874526,0.0,0.0011754334410813989,0.000999118424919189,0.0,0.0,0.0003526300323244196,0.0,0.0,0.007170143990596532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002115780193946518
"X206752",0.0069265924021708085,0.3949585832619252,0.4647957726363896,0.002035132819194516,0.001392459297343616,0.0,3.570408454727221e-05,0.018244787203656097,0.05580548414738646,0.0,0.001570979720079977,0.00021422450728363326,0.0,0.0,0.00017852042273636104,0.001178234790059983,0.0,0.0057483576121108255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04691516709511568
"X206710",0.0,0.5187714918272175,0.38640538885486836,0.0015073719911441895,0.0063592255876395495,0.0,0.0,0.008997126572141882,0.05049696170333035,0.0,0.015921616656460504,0.0005181591219558152,0.0,0.0,0.003909746102030241,0.0,0.0,0.007112911583211644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.003715630418627694,0.4649492197176121,0.5189497151350012,0.0004954173891503591,0.0004334902155065643,0.0,0.0,0.0006192717364379489,0.0026628684666831805,0.0,0.005016101065147387,0.0,0.0,6.192717364379489e-05,6.192717364379489e-05,0.0,0.0,0.002972504334902155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192717364379489e-05
"X206725",0.00011280740016545086,0.6570279010303076,0.30048131157403923,0.009400616680454239,0.00018801233360908476,0.0,0.0,0.0003008197337745356,0.007294878544032489,0.0,0.0034594269384071595,0.020568549296833872,0.0,0.0,7.52049334436339e-05,0.0,0.0,0.00018801233360908476,0.0,0.0009024592013236069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206729",0.0021049861860281543,0.4292198394948033,0.0658465991316932,0.310353900802526,0.005065123010130246,0.0,0.0,0.11103802131298514,0.05512432574661229,0.0009867122747006974,0.0030916984607288513,0.01124851993158795,0.0003946849098802789,0.0,0.004736218918563347,0.0,0.0,0.00019734245494013944,0.0,0.0005920273648204184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206738",0.020594059405940595,0.6386421499292786,0.26489391796322487,0.007581329561527582,0.002772277227722772,0.0,0.0006789250353606789,0.019123055162659122,0.029306930693069305,0.0002263083451202263,0.005714285714285714,0.0013578500707213579,0.00016973125884016973,0.0,0.0009618104667609618,0.0,0.0,0.0063932107496463934,0.0,0.0,0.0005657708628005657,0.0,0.0,0.0,0.0,0.0007920792079207921,0.0,0.0,0.00011315417256011315,0.0,0.00011315417256011315
"X206740",0.018168516034629923,0.48494086087062555,0.46561394951835144,0.003414217778319717,0.0014632361907084503,0.0,0.0,0.0015242043653213022,0.014144616510181686,0.0,0.002011949762224119,0.0005487135715156688,0.0,0.0,0.0007316180953542251,0.0,0.0,0.007377149128155103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0968174612852094e-05,0.0,0.0,0.0,0.0,0.0
"X206743",0.009357666087987467,0.22454164373121058,0.6732015073887454,0.0020747766439429224,0.0017360376000338739,0.0,8.468476097726214e-05,0.014354066985645933,0.02172164119066774,0.00033873904390904855,0.0008891899902612525,0.0018630647414997672,8.468476097726214e-05,0.0003810814243976796,0.0013549561756361942,0.0,0.0,0.003387390439090486,0.0,0.0,0.0,0.0,0.0,0.0009738747512385147,0.0,0.0,0.0,0.0,0.0,0.0003810814243976796,0.04327391285938095
"X224323",0.04550510668419456,0.3784508039235514,0.48993831529982806,0.05480837293962989,0.0010112245929821014,0.0,0.0,0.007533623217716655,0.018151481444028717,5.056122964910506e-05,0.0019718879563150977,0.0004044898371928405,0.0,0.00010112245929821013,0.00025280614824552534,0.0,0.0,0.0017190818080695723,0.0,5.056122964910506e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.056122964910506e-05
"X215003",0.034311287916459474,0.4400795624067628,0.28319244157135753,0.09373446046742914,0.0014917951268025858,0.0,0.00174042764793635,0.03281949278965689,0.07856787667826952,0.0,0.006215813028344107,0.001989060169070114,0.0,0.0,0.00174042764793635,0.0,0.0002486325211337643,0.023868722028841372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
