"","Burkholderiales","Clostridiales","Bacteroidales","Corynebacteriales","Pseudomonadales","Sphingomonadales","Lactobacillales","Rhodospirillales","Selenomonadales","Erysipelotrichales","Bacillales","Fusobacteriales","Sphingobacteriales","Coriobacteriales","Flavobacteriales","Caulobacterales","Bifidobacteriales","Actinomycetales","Micrococcales","Gastranaerophilales","Desulfovibrionales","Blastocatellales","Rhizobiales","Mollicutes_RF9","Anaerolineales","Chromatiales","Chlorobiales","Victivallales","Methanobacteriales","Neisseriales","Myxococcales","Streptomycetales","Chloroplast(class)","Frankiales","Campylobacterales","Pasteurellales","Enterobacteriales","ML635J_21(class)","Xanthomonadales","Verrucomicrobiales","TK10(class)","Aeromonadales","Propionibacteriales","Rhodobacterales","Cellvibrionales"
"X206620",0.0,0.3387096774193548,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935483870967744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206623",0.0,0.004807692307692308,0.09134615384615384,0.2932692307692308,0.052884615384615384,0.0,0.11538461538461539,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.2980769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13942307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476190476190477,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
"X206629",0.022741764080765142,0.7145589798087141,0.08076514346439957,0.005951115834218916,0.010626992561105207,0.004038257173219979,0.006588735387885228,0.0004250797024442083,0.014665249734325186,0.05058448459086079,0.016153028692879916,0.005951115834218916,0.0,0.0004250797024442083,0.0,0.002975557917109458,0.005313496280552604,0.0,0.0025504782146652497,0.0,0.0,0.0,0.0076514346439957494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002975557917109458,0.0,0.0,0.0,0.0,0.016790648246546226,0.028267800212539853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206635",0.014987577141941173,0.7365953354171676,0.1911517191632604,4.0073735673639494e-05,4.0073735673639494e-05,0.0,0.014867355934920253,0.0,0.012382784323154605,0.0028452352328284043,0.00012022120702091849,0.00020036867836819747,0.0,4.0073735673639494e-05,0.0,0.0,0.021880259677807164,8.014747134727899e-05,0.0,0.0,0.0009216959204937084,0.0,0.0,0.0,0.0,8.014747134727899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000881622184820069,0.0023643504047447302,0.0,0.0,0.0005209585637573135,0.0,0.0,0.0,0.0,0.0
"X206643",0.000365737692926633,0.5314168678223978,0.3893643478896935,0.0005120327700972862,0.001462950771706532,0.0,0.007826786628629947,0.0001462950771706532,0.0019018360032184917,0.01441006510130934,0.0009509180016092459,0.0,0.0,0.00021944261575597982,0.0,0.0,0.0005851803086826128,7.31475385853266e-05,0.00043888523151195964,0.0,0.0,0.0,0.0005851803086826128,0.0,0.0,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03247750713188501,0.016897081413210446,0.0,0.0,0.0,0.00021944261575597982,0.0,0.0,0.0,0.0
"X206669",0.0,0.06382978723404255,0.010638297872340425,0.1276595744680851,0.5106382978723404,0.0,0.0,0.0,0.02127659574468085,0.010638297872340425,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.09574468085106383,0.02127659574468085,0.0,0.07446808510638298,0.0,0.0,0.0,0.0,0.0
"X206675",0.015443037974683544,0.6070886075949367,0.30835443037974686,0.0,0.0037974683544303796,0.0,0.00810126582278481,0.0,0.0210126582278481,0.006329113924050633,0.006582278481012658,0.0,0.0,0.0012658227848101266,0.0,0.0007594936708860759,0.0,0.0,0.0020253164556962027,0.0,0.0017721518987341772,0.0,0.0,0.0027848101265822785,0.0010126582278481013,0.0,0.0,0.0,0.0005063291139240507,0.0015189873417721519,0.0,0.0,0.0,0.0,0.0,0.0,0.011139240506329114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005063291139240507
"X206677",0.001809253036960455,0.5116309123804601,0.1371155337296459,0.0,0.004264667872835358,0.0033600413543551306,0.030628069268544843,0.0,0.013827862496769192,0.012147841819591625,0.0051692943913155855,0.005427759110881365,0.0060739209097958125,0.00012923235978288964,0.0012923235978288964,0.0,0.0,0.00012923235978288964,0.002843111915223572,0.0,0.0,0.0027138795554406824,0.00697854742827604,0.0,0.0,0.0,0.0,0.0,0.0,0.008658568105453606,0.0,0.0002584647195657793,0.0,0.0005169294391315585,0.002455414835874903,0.16619281468079608,0.07224088911863531,0.00361850607392091,0.0,0.00012923235978288964,0.0,0.00012923235978288964,0.0,0.0002584647195657793,0.0
"X206683",0.018849854163945846,0.5880893300248139,0.36223934526141655,0.0,0.0007835967088938227,0.0,0.0046145139523747335,0.0,0.007879500239432327,0.011536284880936833,0.00039179835444691133,0.0,0.0,0.0018719254712463542,0.0,0.0,0.0009577293108702277,0.00017413260197640502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022637238256932655,0.00034826520395281004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.0007361398665746492,0.37037037037037035,0.589602024384633,0.0,0.0001840349666436623,0.0,0.0012422360248447205,0.0,0.0051529790660225444,0.008189556015642972,9.201748332183115e-05,0.00676328502415459,0.0,0.0023464458247066944,0.0,0.0,0.00280653324131585,0.00027605244996549346,0.0,0.0,0.011180124223602485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013802622498274673,0.00013802622498274673,0.0007361398665746492,0.0,4.6008741660915574e-05,0.0,0.0,0.0,0.0,0.0,0.0
