"","Acetobacteraceae","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Pasteurellaceae","Corynebacteriaceae","Peptococcaceae","Pseudomonadaceae","Lactobacillaceae","Blastocatellaceae_Subgroup_4_","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","WCHB1_32(class)","Sphingomonadaceae","DA101_soil_group","Burkholderiaceae","Family_XI","Sphingobacteriaceae","Coriobacteriaceae","Solibacteraceae_Subgroup_3_","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Leuconostocaceae","Opitutaceae","Fusobacteriaceae","Caulobacteraceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Moraxellaceae","Hyphomicrobiaceae","Oxalobacteraceae","Thermaceae","Flavobacteriaceae","Cellulomonadaceae","Eubacteriaceae","Cytophagaceae","Brucellaceae","Rikenellaceae","Micrococcaceae","Gastranaerophilales(order)","Subgroup_6(class)","uncultured","Methylobacteriaceae","Mollicutes_RF9(order)","Micromonosporaceae","Erythrobacteraceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Unknown_Family","Anaerolineaceae","Chromatiaceae","OPB56","Rhodospirillaceae","Thermoanaerobacteraceae","Chitinophagaceae","Synergistaceae","vadinBE97","NS11_12_marine_group","Nocardiaceae","Nocardioidaceae","Methanobacteriaceae","Microbacteriaceae","Neisseriaceae","Rhizobiaceae","Victivallaceae","Planctomycetaceae","env_OPS_17","Intrasporangiaceae","Defluviitaleaceae","Thermoplasmatales_Incertae_Sedis","Xanthobacteraceae","Streptomycetaceae","Chloroplast(class)","Family_X","Staphylococcaceae","Desulfovibrionaceae","Campylobacteraceae","Bacteroidetes_vadinHA17(class)","Acidimicrobiaceae","Coxiellaceae","Enterobacteriaceae","Leptotrichiaceae","Carnobacteriaceae","Acidobacteriaceae_Subgroup_1_","Tectomicrobia(phylum)","Geodermatophilaceae","Brevibacteriaceae","Xanthomonadaceae","Methylophilaceae","OPB35_soil_group(class)","Solirubrobacteraceae","ML635J_21(class)","Bacillaceae","FamilyI","Roseiarcaceae","Anaeroplasmataceae","Verrucomicrobiaceae","uncultured(class)","Helicobacteraceae","Clostridiaceae_1","TK10(class)","Candidatus_Nomurabacteria(class)","Aeromonadaceae","Paenibacillaceae","SC_I_84(order)","Propionibacteriaceae","Bogoriellaceae","Gemmatimonadaceae","Sanguibacteraceae","Bradyrhizobiaceae","Cellvibrionaceae","Myxococcaceae","Subgroup_2(class)","Elev_16S_1332","Rhodocyclaceae","Dermabacteraceae","JG30_KF_CM45(order)","Pseudonocardiaceae"
"X206621",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147058823529,0.0,0.0,0.117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294117647059,0.0,0.0,0.0294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206622",0.0,0.0,0.00066203243959,0.0,0.0,0.000993048659384,0.343760344257,0.0,0.000165508109897,0.0,0.00562727573651,0.0,0.0,0.0572658060245,0.0,0.000496524329692,0.00182058920887,0.0,0.0,0.0,0.0,0.0,0.0,0.00182058920887,0.0,0.00264812975836,0.507613373055,0.0239986759351,0.000827540549487,0.0,0.0,0.0,0.0,0.000993048659384,0.0,0.0,0.0,0.0,0.000331016219795,0.0,0.0,0.000496524329692,0.0,0.0,0.00115855676928,0.0,0.0291294273419,0.0,0.0,0.0,0.0,0.00132406487918,0.0,0.0,0.000165508109897,0.00744786494538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00115855676928,0.0,0.000496524329692,0.0,0.00198609731877,0.0,0.00066203243959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00413770274743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00066203243959,0.0,0.0,0.0,0.0,0.0,0.00165508109897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000496524329692
"X206620",0.0,0.0,0.0,0.0,0.0,0.0,0.0161290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0645161290323,0.177419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.0237430167598,0.0,0.0,0.0125698324022,0.0,0.0,0.0349162011173,0.0,0.0516759776536,0.0,0.187150837989,0.0,0.0,0.0740223463687,0.0,0.0,0.0307262569832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0810055865922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279329608939,0.0,0.0,0.0460893854749,0.0,0.0,0.0,0.0,0.0153631284916,0.0,0.0,0.0265363128492,0.0,0.0698324022346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405027932961,0.0,0.0,0.0,0.0,0.0,0.0,0.0572625698324,0.0,0.0377094972067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474860335196,0.0,0.0,0.0,0.0,0.0,0.0167597765363,0.0,0.0460893854749,0.0,0.0,0.00837988826816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153631284916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209497206704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279329608939,0.0,0.0,0.0,0.0,0.0,0.0
"X206623",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293269230769,0.0,0.0528846153846,0.0,0.0,0.00480769230769,0.0,0.00480769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144230769231,0.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115384615385,0.0,0.0,0.0,0.0,0.0,0.298076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139423076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206626",0.0,0.0,0.0,0.0,0.0,0.0,0.160869565217,0.0,0.0,0.0,0.0304347826087,0.0,0.0,0.508695652174,0.0347826086957,0.0173913043478,0.0130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00434782608696,0.0,0.0608695652174,0.00869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0260869565217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206625",0.0,0.0,0.0018018018018,0.0,0.000600600600601,0.0,0.0582582582583,0.0,0.0,0.0,0.0,0.0,0.0,0.255255255255,0.0540540540541,0.0,0.0204204204204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012012012012,0.0,0.522522522523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012012012012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294294294294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108108108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138138138138,0.0108108108108,0.0,0.0,0.0,0.0,0.0192192192192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000600600600601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206628",0.0,0.0,0.0746753246753,0.0,0.0,0.0,0.00324675324675,0.0,0.0,0.0,0.0,0.0,0.0,0.133116883117,0.0,0.0162337662338,0.214285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0162337662338,0.0194805194805,0.0584415584416,0.0,0.0,0.0,0.00649350649351,0.0,0.00649350649351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324675324675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324675324675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357142857143,0.0,0.0238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095,0.0,0.0,0.0,0.0,0.547619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.000866300895178,0.0,0.00101068437771,0.000433150447589,0.00014438348253,0.0,0.0961593993647,0.00822985850419,0.0053421888536,0.0,0.00014438348253,0.0,0.0,0.480941380306,0.0189142362114,0.00317643661565,0.0511117528155,0.0,0.0,0.0,0.0,0.0,0.0063528732313,0.0,0.00591972278371,0.0,0.277793820387,0.00173260179036,0.00014438348253,0.0,0.0,0.0,0.00476465492348,0.0,0.00606410626624,0.0,0.0,0.0,0.0,0.0,0.00101068437771,0.00158821830783,0.0,0.0,0.0,0.0,0.000866300895178,0.000721917412648,0.00101068437771,0.0,0.0,0.0,0.0,0.0,0.0,0.00981807681201,0.0014438348253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00202136875541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014438348253,0.0,0.0,0.0,0.0,0.0,0.00750794109154,0.0,0.002454519203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000866300895178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
