"","Burkholderiales","Bacteroidales","Clostridiales","Run_SP154","Corynebacteriales","Rhodospirillales","Pseudomonadales","Micrococcales","Selenomonadales","Erysipelotrichales","Bacillales","Bifidobacteriales","Sphingobacteriales","Coriobacteriales","Lactobacillales","Thermales","Actinomycetales","Flavobacteriales","Rhizobiales","Synergistales","Micromonosporales","Subgroup_6(class)","Fusobacteriales","Neisseriales","JG30_KF_CM45","Cardiobacteriales","Caulobacterales","Alteromonadales","Desulfovibrionales","Campylobacterales","Chloroplast(class)","Deinococcales","Pasteurellales","Gastranaerophilales","Enterobacteriales","Rhodobacterales","Myxococcales","Sphingomonadales","Xanthomonadales","Methanobacteriales","Bdellovibrionales","Solirubrobacterales","Blastocatellales","Mollicutes_RF9","Verrucomicrobiales","Cytophagales","Latescibacteria(phylum)","Thermoanaerobacterales"
"X206704",0.0203596694929,0.289301722741,0.538640168494,0.0,0.0,0.0,0.000216017713453,0.000378030998542,0.0575147162067,0.00108008856726,0.000702057568721,0.00178214613598,0.0,0.00124210185235,0.0197116163525,0.0,0.000162013285089,0.0,0.0,0.0,0.0,0.0,0.00108008856726,5.40044283631e-05,0.0,5.40044283631e-05,0.0,0.0,0.00334827455851,0.0,0.0,0.0,0.0516822379435,0.0,0.0104768591024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00221418156289,0.0,0.0,0.0
"X206703",0.00887452248016,0.541698501322,0.347281810167,0.0,0.0,0.0,0.000235086688216,5.87716720541e-05,0.0357331766089,0.00117543344108,0.000646488392595,0.000646488392595,0.0,0.000352630032324,0.00993241257714,0.0,5.87716720541e-05,0.0,0.000235086688216,0.0,0.0,0.0,0.000999118424919,0.000235086688216,0.0,5.87716720541e-05,0.0,0.0,0.0071701439906,0.0,0.0,0.0,0.0340875697914,0.0,0.00840434910373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00211578019395,0.0,0.0,0.0
"X206753",0.00911548860564,0.395403630745,0.503398995751,0.0,3.86249517188e-05,0.0,3.86249517188e-05,0.000154499806875,0.0493626882966,0.00119737350328,0.000115874855156,0.00166087292391,0.0,0.000154499806875,0.0117806102742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000231749710313,0.0,0.0,0.0,0.0,0.0,0.00915411355736,0.0,3.86249517188e-05,0.0,0.001235998455,0.0,0.000926998841251,3.86249517188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135187331016,0.0146002317497,0.0,0.0,0.0
"X206752",0.00692659240217,0.464795772636,0.394958583262,0.0,3.57040845473e-05,3.57040845473e-05,0.000249928591831,0.0,0.0558054841474,0.00157097972008,3.57040845473e-05,0.00132105112825,0.0,0.000178520422736,0.0182090831191,0.0,3.57040845473e-05,0.0,0.0,0.0,0.0,0.0,0.000214224507284,0.0,0.0,0.0,0.0,0.0,0.00574835761211,0.0,0.0,0.0,0.00146386746644,0.0,0.000321336760925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00117823479006,0.0469151670951,0.0,0.0,0.0
"X206711",0.000129920748344,0.341388419731,0.57935992378,0.0,4.33069161145e-05,0.0,0.000216534580573,0.0,0.0469446970681,0.0217400718895,0.00047637607726,0.00272833571521,0.0,0.00277164263133,0.000909445238405,0.0,0.000129920748344,0.0,0.0,0.0,0.0,0.0,0.000259841496687,0.0,0.0,0.0,0.0,0.0,0.00212203888961,0.0,0.0,0.0,0.000519682993374,0.0,0.000216534580573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33069161145e-05,0.0,0.0,0.0
"X206710",0.0,0.386405388855,0.518771491827,0.0,0.0,0.0,0.00028263224834,4.71053747233e-05,0.0504969617033,0.0159216166565,0.00230816336144,0.00626501483819,0.0,0.00390974610203,0.0066889632107,0.0,4.71053747233e-05,0.0,0.0,0.0,0.0,0.0,0.000518159121956,0.0,0.0,0.0,0.0,0.0,0.00711291158321,0.0,0.0,0.0,0.00108342361863,0.0,0.00014131612417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206719",0.00452817292494,0.494766969969,0.472937758982,0.0,0.0,0.0,8.54372249989e-05,0.0,0.00440001708745,0.0127728651373,8.54372249989e-05,0.00111068392499,0.0,0.000427186124995,0.0,0.0,0.0,8.54372249989e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080310991499,4.27186124995e-05,0.0,0.0,0.000299030287496,0.0,0.000427186124995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.00371563041863,0.518949715135,0.464949219718,0.0,0.0,0.0,0.0,0.0,0.00266286846668,0.00501610106515,0.000123854347288,0.000371563041863,6.19271736438e-05,6.19271736438e-05,0.00049541738915,0.0,6.19271736438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029725043349,0.0,0.0,0.0,0.000309635868219,0.0,0.000185781520931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,0.0,0.0,0.0
"X206726",0.0,0.424144852388,0.538513004934,0.0,0.0,0.0,0.0,0.0,0.013255833403,0.00735970561178,0.000167266036631,0.000543614619052,0.0,0.000209082545789,0.000209082545789,0.0,4.18165091578e-05,0.0,0.0,0.0,0.0,0.0,0.00899054946893,0.000125449527473,0.0,0.0,0.0,0.0,0.000669064146525,0.000585431128209,0.0,0.0,0.000209082545789,0.0,0.00497616458978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.0,0.300481311574,0.65702790103,0.0,0.0,0.0,0.0,0.0,0.00729487854403,0.00345942693841,3.76024667218e-05,0.000188012333609,0.0,7.52049334436e-05,0.000263217267053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205685492968,0.000112807400165,0.0,0.0,0.0,0.0,0.000188012333609,0.000902459201324,0.0,0.0,0.000112807400165,0.0,0.00928780928029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
