"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Moraxellaceae","Peptococcaceae","JG30_KF_CM66(class)","uncultured","Pseudomonadaceae","Intrasporangiaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Flavobacteriaceae","Erysipelotrichaceae","Burkholderiaceae","Family_XI","Leptotrichiaceae","Coriobacteriaceae","Fibrobacteraceae","Bacteroidaceae","Clostridiales_vadinBB60_group","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Thermaceae","Leuconostocaceae","Fusobacteriaceae","Bifidobacteriaceae","Aerococcaceae","Oscillochloridaceae","Actinomycetaceae","Hyphomicrobiaceae","Spirochaetaceae","Iamiaceae","Oxalobacteraceae","Cellulomonadaceae","Eubacteriaceae","Micrococcaceae","Gastranaerophilales(order)","Rikenellaceae","Desulfovibrionaceae","Listeriaceae","Synergistaceae","Methylobacteriaceae","Caldilineaceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Planctomycetaceae","Chthoniobacterales_Incertae_Sedis","Thermoanaerobacteraceae","OPB35_soil_group(class)","Chitinophagaceae","Tectomicrobia(phylum)","Acetobacteraceae","vadinBE97","Paenibacillaceae","Rhizobiales_Incertae_Sedis","Nocardioidaceae","Chloroflexaceae","Streptosporangiales_Incertae_Sedis","Microbacteriaceae","Neisseriaceae","Rhizobiaceae","Victivallaceae","Xanthomonadaceae","Caulobacteraceae","Subgroup_6(class)","Geobacteraceae","env_OPS_17","0319_6A21","Defluviitaleaceae","Shewanellaceae","Candidatus_Falkowbacteria(class)","Xanthobacteraceae","Cytophagaceae","Gitt_GS_136(class)","Staphylococcaceae","Erythrobacteraceae","Campylobacteraceae","Rhodospirillales_Incertae_Sedis","Bacteriovoracaceae","Pasteurellaceae","Cyanobacteria(phylum)","NB1_j(order)","Enterobacteriaceae","ABS_19","Opitutaceae","Geodermatophilaceae","Brevibacteriaceae","Sphingomonadaceae","Heliobacteriaceae","Oligosphaeraceae","Chloroplast(class)","Solibacteraceae_Subgroup_3_","Nocardiaceae","KD4_96(class)","Verrucomicrobiaceae","Carnobacteriaceae","Clostridiaceae_1","FamilyII","Solirubrobacteraceae","Propionibacteriaceae","Phyllobacteriaceae","Bradyrhizobiaceae","Sphingobacteriaceae","Cellvibrionaceae","UA11(class)","Dermabacteraceae","Lineage_IIc(order)"
"X206615",0.000571102227299,0.0,0.0,0.0,0.0,0.0830001903674,0.0011422044546,0.00685322672758,0.0,0.0,0.0,0.0020940415001,0.0,0.0,0.0,0.434418427565,0.0,0.0622501427756,0.0,0.0116124119551,0.0,0.0,0.0,0.0001903674091,0.0,0.362459546926,0.0,0.00228440890919,0.000761469636398,0.0,0.0,0.0,0.00399771559109,0.0,0.0,0.0,0.000380734818199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00342661336379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000761469636398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000951837045498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001903674091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0197982105464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013325718637,0.0,0.0015229392728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206614",0.00212014134276,0.0,0.0,0.0,0.0,0.0501766784452,0.0,0.0,0.0,0.0,0.00141342756184,0.0,0.0,0.0,0.0,0.572438162544,0.0,0.0501766784452,0.0,0.00777385159011,0.00212014134276,0.0,0.0,0.0,0.0,0.274911660777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00777385159011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00212014134276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00282685512367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0240282685512,0.0,0.0,0.0,0.0,0.00212014134276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206617",0.001953125,0.0,0.0,0.0,0.0,0.0442708333333,0.005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311848958333,0.0,0.0266927083333,0.0,0.0,0.0,0.0,0.0,0.00260416666667,0.0,0.546875,0.0,0.0,0.00455729166667,0.00846354166667,0.0,0.0,0.0260416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000651041666667,0.0123697916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00325520833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00455729166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.0,0.0,0.0,0.0,0.0,0.0475155279503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401552795031,0.00745341614907,0.0689440993789,0.00807453416149,0.00124223602484,0.0,0.0,0.0,0.00248447204969,0.0,0.45248447205,0.0,0.0,0.0,0.0,0.0,0.0,0.00341614906832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310559006211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206616",0.0,0.0,0.0,0.0,0.0,0.0280373831776,0.0,0.0,0.0,0.0,0.0,0.205607476636,0.0,0.0,0.0,0.644859813084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00934579439252,0.0,0.00934579439252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0934579439252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00934579439252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206618",0.000623441396509,0.0,0.0,0.0,0.0,0.0299251870324,0.0,0.00311720698254,0.0,0.0,0.0,0.0523690773067,0.0,0.0,0.0,0.0891521197007,0.00374064837905,0.0168329177057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246259351621,0.0,0.0,0.00311720698254,0.00872817955112,0.0,0.0,0.00249376558603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51433915212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0280548628429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124688279302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206645",0.0,0.0249066002491,0.0,0.0,0.0,0.153175591532,0.0,0.0,0.0,0.0,0.0,0.00996264009963,0.0,0.0,0.0,0.297633872976,0.0,0.0809464508095,0.0,0.0,0.0,0.0199252801993,0.0,0.0,0.0,0.354919053549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00622665006227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336239103362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186799501868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",0.0,0.0212648790613,8.47206337103e-05,0.000804846020248,0.00660820942941,0.321684246198,0.000338882534841,8.47206337103e-05,0.000508323802262,0.0,0.0,4.23603168552e-05,0.0,8.47206337103e-05,0.0,0.264540178761,8.47206337103e-05,0.0260092345491,0.0,0.0016096920405,0.0,0.000550684119117,0.0,0.00139789045622,0.0,0.298809675096,0.000211801584276,0.00389714915068,0.000381242851697,0.000677765069683,0.0,0.0,0.000296522217986,0.0028381412293,8.47206337103e-05,0.0,4.23603168552e-05,0.0,0.0,0.0,0.0,0.0,0.000381242851697,0.0,0.0,0.0389714915068,4.23603168552e-05,0.0,0.0,0.0,0.0,0.000169441267421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47206337103e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000127080950566,8.47206337103e-05,0.0,0.0,0.000211801584276,0.0,0.0,0.00635404752828,0.0,0.0,4.23603168552e-05,0.0,0.000254161901131,0.0,0.0,0.0,0.0,0.0,0.0,4.23603168552e-05,0.0,0.000211801584276,8.47206337103e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206648",0.0,0.0,0.000293341155764,0.0,0.0,0.182458198885,0.0,5.86682311528e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0150190671751,0.300850689352,0.0863009680258,0.000234672924611,0.0,0.0332648870637,0.0,0.000528014080375,0.0,0.000293341155764,0.0,0.332414197712,0.0,0.00481079495453,0.000528014080375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168377823409,0.0149017307128,0.0,0.0,0.0,0.0,0.0093282487533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.86682311528e-05,0.0,0.0,0.0,0.000176004693458,0.000117336462306,0.0,0.0,0.00152537400997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206647",0.0,0.0,0.0,0.000130474492237,0.0,0.136954725351,0.0,0.0,0.0,0.0,0.0,0.000217457487061,0.0,0.0,0.000608880963772,0.486669856043,0.027530117862,0.00239203235767,0.0,0.122254599226,0.0,0.00100030444048,0.0,0.000173965989649,0.0,0.147871091202,0.0,0.000739355456008,0.0134823641978,8.69829948245e-05,0.0,0.0,0.000173965989649,0.0,0.0,0.0,0.000217457487061,4.34914974123e-05,0.0,0.0,0.0,0.0,0.0,4.34914974123e-05,0.0,0.0103944678815,0.0434045144174,0.0,0.0,0.0,0.0,0.00369677728004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69829948245e-05,0.0,4.34914974123e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000347931979298,0.0,0.0,0.000130474492237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000130474492237,0.0,0.0,0.0,0.0,0.00117427043013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
