"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Acidobacteria","Fusobacteria","Verrucomicrobia","Cyanobacteria","Chloroflexi","Lentisphaerae","Armatimonadetes","Euryarchaeota","Gemmatimonadetes"
"X206713",0.013878290728729493,0.26721671117893936,0.7112266310568486,0.0022415108737123234,0.0,0.005436856161770317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.013158500115021855,0.3850471589602024,0.589602024384633,0.005429031515988038,0.0,0.00676328502415459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206732",0.024836209480580653,0.394938551792061,0.5620262921252087,0.015073009891662742,0.0,0.00034256840662869867,0.0,0.0,0.0,0.002697726202201002,0.0,8.564210165717467e-05,0.0
"X206731",0.016971808165910564,0.4602235904082955,0.5051847051198963,0.016404731043421904,0.0,0.0,0.0,0.0,0.0,0.001093648736228127,0.0,0.00012151652624756967,0.0
"X206754",0.0624881830213651,0.5267063717148799,0.3633011911514464,0.01947438079031953,0.0005672149744753262,0.026611835885800718,0.0002836074872376631,4.726791453961051e-05,0.00018907165815844205,0.0,0.0,0.00033087540177727357,0.0
"X206762",0.1255387931034483,0.5056872605363985,0.3590756704980843,0.009039750957854406,0.0,0.0006585249042145594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206761",0.09098266388380116,0.3633769220939643,0.5366102994420071,0.008518976019082506,0.0,0.0005111385611449503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206770",0.03187526402703637,0.5578939283382618,0.40577595145742923,0.004339644379584469,3.840393256269442e-05,7.680786512538885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224330",0.058488761358201816,0.42429459588713536,0.5052606408417025,0.01095169775227164,0.0,0.0,0.0001912960306073649,0.0,0.00014347202295552367,0.0,0.00028694404591104734,0.0,0.0003825920612147298
"X224325",0.11518949567293345,0.3416890480453596,0.5408460161145927,0.0014920919128618322,0.0,0.000783348254252462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224326",0.12962962962962962,0.38500435335878375,0.48449534525483895,0.0004018485031143259,0.0,0.00043533587837385306,3.348737525952716e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X219643",0.010387958448166206,0.7362730549077804,0.22334110663557347,0.01558193767224931,0.0,0.000370998516005936,0.000688997244011024,0.013355946576213695,0.0,0.0,0.0,0.0,0.0
"X219644",0.0006503360069369175,0.9250379362670713,0.07331454584868849,0.0008237589421200954,0.0,0.00017342293518317797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219646",0.01598637847041574,0.66717116776238,0.31201816203944566,0.004776994750035473,0.0,4.7296977723123494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219645",0.02327093083723349,0.5354047495233143,0.43863754550182005,0.002470098803952158,0.0,0.00013000520020800833,4.3335066736002776e-05,4.3335066736002776e-05,0.0,0.0,0.0,0.0,0.0
"X219670",0.013187360039810898,0.8395745210251306,0.1413908932570291,0.005162975864642946,0.0,0.0,0.0,0.0006842498133864145,0.0,0.0,0.0,0.0,0.0
"X219669",0.013396210666889242,0.8950421500709457,0.08880727819046824,0.0024204991236123864,0.0,0.0,0.0,0.0003338619480844671,0.0,0.0,0.0,0.0,0.0
