"","Betaproteobacteria","Clostridia","Bacteroidia","Alphaproteobacteria","Actinobacteria","Gammaproteobacteria","Bacilli","Negativicutes","Flavobacteriia","Erysipelotrichia","Fusobacteriia","Deinococci","Sphingobacteriia","Coriobacteriia","Opitutae","Melainabacteria","Deltaproteobacteria","Synergistia","Nitrospira","Lentisphaeria","Acidimicrobiia","Candidatus_Falkowbacteria","Chloroplast","Cytophagia","Epsilonproteobacteria","Cyanobacteria(phylum)","Holophagae","Thermoleophilia","Verrucomicrobiae","Cyanobacteria"
"X206615",0.0015229392727964973,0.5174186179326099,0.3647439558347611,0.0,0.0028555111364934323,0.028745478774033887,0.0009518370454978108,0.06225014277555682,0.0,0.01161241195507329,0.003997715591090805,0.0,0.0007614696363982486,0.00019036740909956216,0.0,0.0,0.0034266133637921186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015229392727964973,0.0
"X206619",0.007453416149068323,0.44906832298136645,0.45279503105590063,0.0,0.0,0.006521739130434782,0.0,0.06894409937888199,0.008074534161490683,0.0012422360248447205,0.0034161490683229812,0.0,0.0,0.002484472049689441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",8.472063371034016e-05,0.6109204896852628,0.34176303638751215,0.006989452281103063,0.003261744397848096,0.006692930063116872,0.000550684119117211,0.026178675816495106,0.0,0.001609692040496463,0.00029652221798619053,0.0,0.0,0.0013978904562206124,0.0,0.0,4.236031685517008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.472063371034016e-05,0.0,0.0,0.0,4.236031685517008e-05,8.472063371034016e-05
"X206648",0.08630096802581402,0.4838369023173951,0.3543561161630977,0.01501906717512467,0.0,0.0017013787034320916,0.0005866823115283074,0.009562921677911411,0.0,0.03326488706365503,0.0,0.0,0.0,0.0002933411557641537,0.0,0.0,0.015077735406277501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206656",0.001152073732718894,0.5241935483870968,0.27419354838709675,0.0,0.0017281105990783411,0.025921658986175114,0.0,0.02534562211981567,0.0,0.07142857142857142,0.0293778801843318,0.0034562211981566822,0.0,0.0017281105990783411,0.0,0.0,0.02304147465437788,0.0,0.010944700460829493,0.0,0.0,0.0034562211981566822,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0
"X206660",0.03588096552416319,0.15581873839514226,0.4278616951874341,0.0014051287198273699,0.0005018316856526321,0.011592311938575801,0.00025091584282631606,0.3186631203894214,0.0,0.0005018316856526321,0.019671802077583178,0.0,5.018316856526321e-05,0.0,0.0,0.0011542128770010538,0.01565714859236212,0.0023084257540021075,0.0,0.00020073267426105285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008480955487529482,0.0
"X206668",0.029556650246305417,0.3645320197044335,0.39080459770114945,0.016420361247947456,0.10180623973727422,0.07060755336617405,0.024630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206672",0.0002643404705260375,0.19006079830822098,0.49325931800158607,0.0037007665873645254,0.002731518195435721,0.2632831086439334,0.005639263371222134,0.025200458190148912,0.0,8.811349017534584e-05,0.014714952859282756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001762269803506917,0.0,0.0,0.0,0.0,0.0008811349017534585,0.0,0.0
"X206673",0.026455395783889432,0.37561077760714784,0.47410302945693145,0.0,0.0005584252408208851,0.000767834706128717,0.010051654334775931,0.027711852575736422,0.0,0.006631299734748011,0.0,0.0,0.0,0.0009074410163339383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07720228954348736,0.0
"X206682",0.007334963325183374,0.6332518337408313,0.07334963325183375,0.0,0.014669926650366748,0.022004889975550123,0.04156479217603912,0.14180929095354522,0.0,0.009779951100244499,0.0,0.0,0.0,0.014669926650366748,0.02444987775061125,0.0,0.017114914425427872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206538",0.1288016341352701,0.18043576940535633,0.4417839310031775,0.0,0.002837040399455288,0.1465047662278711,0.013958238765320019,0.028597367226509306,0.0,0.006014525646845211,0.04005901044030867,0.0,0.0,0.0013617793917385383,0.0,0.0,0.007943713118474808,0.0,0.00022696323195642307,0.0,0.0,0.0,0.0014752610077167498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215050",0.03845173351461591,0.43053195105370495,0.37754928619986405,0.0,0.0488613188307274,0.04304044867437118,0.022306254248810335,0.01856730115567641,0.0,0.007010537049626104,0.0,0.0,0.0,0.007138001359619306,0.0,0.0,0.006203263086335826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003399048266485384,0.0,0.0,0.0,0.0,0.0
"X206548",0.0006963788300835655,0.44823584029712166,0.0127669452181987,0.00046425255338904364,0.001160631383472609,0.4582172701949861,0.01532033426183844,0.028783658310120707,0.0,0.019730733519034354,0.011142061281337047,0.0,0.00023212627669452182,0.0,0.0,0.0,0.0,0.00023212627669452182,0.0,0.0,0.0,0.0,0.0,0.0,0.002321262766945218,0.0006963788300835655,0.0,0.0,0.0,0.0
"X206562",0.01930173147885325,0.5890576213454443,0.28704229349985805,0.022707919386886176,7.09622480840193e-05,0.002341754186772637,0.008018734033494181,0.011353959693443088,0.0,0.0010644337212602896,0.0,0.0,0.0,0.0004257734885041158,0.0,0.0444933295486801,0.013908600624467783,0.0,0.0,0.0001419244961680386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09622480840193e-05,0.0
