"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","Sphingomonadales","Lactobacillales","Rhodospirillales","Selenomonadales","Flavobacteriales","Erysipelotrichales","Bacillales","Fusobacteriales","Thermales","Sphingobacteriales","Coriobacteriales","Opitutales","Bifidobacteriales","Actinomycetales","Micrococcales","Gastranaerophilales","Desulfovibrionales","Synergistales","Rhizobiales","Nitrospirales","Thermoanaerobacterales","Victivallales","Propionibacteriales","Streptosporangiales","Neisseriales","Xanthomonadales","Caulobacterales","Desulfuromonadales","Alteromonadales","Acidimicrobiales","Candidatus_Falkowbacteria(class)","Chloroplast(class)","Cytophagales","Frankiales","Campylobacterales","Bdellovibrionales","Pasteurellales","Cyanobacteria(phylum)","Enterobacteriales","Subgroup_10","Solirubrobacterales","Verrucomicrobiales","SubsectionII"
"X206615",0.0005711022272986865,0.5174186179326099,0.3647439558347611,0.0,0.002474776318294308,0.008947268227679422,0.0,0.0007614696363982486,0.0,0.06225014277555682,0.0,0.01161241195507329,0.00019036740909956216,0.003997715591090805,0.0,0.0007614696363982486,0.00019036740909956216,0.0,0.0,0.0003807348181991243,0.0,0.0,0.0034266133637921186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009518370454978108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019798210546354465,0.0,0.0,0.0015229392727964973,0.0
"X206619",0.007453416149068323,0.44906832298136645,0.45279503105590063,0.0,0.0,0.0,0.0,0.0,0.0,0.06894409937888199,0.008074534161490683,0.0012422360248447205,0.0,0.0034161490683229812,0.0,0.0,0.002484472049689441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006521739130434782,0.0,0.0,0.0,0.0
"X206646",8.472063371034016e-05,0.6109204896852628,0.34176303638751215,0.006608209429406532,0.00033888253484136064,0.00012708095056551024,0.0003812428516965307,0.000550684119117211,0.0,0.026178675816495106,0.0,0.001609692040496463,0.0,0.00029652221798619053,0.0,0.0,0.0013978904562206124,0.0,0.002838141229296395,4.236031685517008e-05,0.0,0.0,4.236031685517008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.236031685517008e-05,8.472063371034016e-05,0.0,0.00021180158427585037,0.0,0.006354047528275512,0.0,0.0,4.236031685517008e-05,8.472063371034016e-05
"X206648",0.08630096802581402,0.4838369023173951,0.3543561161630977,0.0,0.0,5.8668231152830744e-05,0.0,0.0005280140803754767,0.01501906717512467,0.009562921677911411,0.0,0.03326488706365503,5.8668231152830744e-05,0.0,0.0,0.0,0.0002933411557641537,0.0,0.0,0.0,0.0,0.0,0.014901730712819009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017600469345849224,0.00011733646230566149,0.0,0.0015253740099735993,0.0,0.0,0.0,0.0
"X206656",0.001152073732718894,0.5241935483870968,0.27419354838709675,0.0,0.0,0.0,0.0,0.0,0.0,0.02534562211981567,0.0,0.07142857142857142,0.0,0.0293778801843318,0.0034562211981566822,0.0,0.0017281105990783411,0.0,0.0,0.0017281105990783411,0.0,0.0,0.02304147465437788,0.0,0.0,0.010944700460829493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0,0.0,0.0,0.0,0.0,0.008640552995391706,0.0,0.01728110599078341,0.0,0.0,0.004032258064516129,0.0
"X206660",0.03588096552416319,0.15581873839514226,0.4278616951874341,0.0,5.018316856526321e-05,0.0,0.0,0.00015054950569578964,0.0014051287198273699,0.3186631203894214,0.0,0.0005018316856526321,0.00010036633713052642,0.019671802077583178,0.0,5.018316856526321e-05,0.0,0.0,0.0004516485170873689,0.0,0.0,0.0011542128770010538,0.01565714859236212,0.0023084257540021075,0.0,0.0,0.0,0.00020073267426105285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011592311938575801,0.0,0.0,0.008480955487529482,0.0
"X206668",0.029556650246305417,0.3645320197044335,0.39080459770114945,0.014778325123152709,0.042692939244663386,0.026272577996715927,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.024630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054187192118226604,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04433497536945813,0.0,0.0,0.0,0.0
"X206672",0.0002643404705260375,0.19006079830822098,0.49325931800158607,0.0,0.0,0.0,0.0008811349017534585,0.0055511498810467885,0.001145475372279496,0.025200458190148912,0.0,8.811349017534584e-05,8.811349017534584e-05,0.014714952859282756,0.0,0.0,0.0,0.0,0.0002643404705260375,0.0,0.0007930214115781126,0.0,0.0,0.0,0.001674156313331571,0.0,0.0,0.0,0.0,0.0006167944312274209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001762269803506917,0.0,0.00105736188210415,0.0,0.0,0.008106441096131818,0.0,0.25517666754780155,0.0,0.0008811349017534585,0.0,0.0
"X206673",0.026455395783889432,0.37561077760714784,0.47410302945693145,0.0,0.00020940946530783192,0.00013960631020522128,0.0,0.009632835404160269,0.0,0.027711852575736422,0.0,0.006631299734748011,0.00041881893061566385,0.0,0.0,0.0,0.0009074410163339383,0.0,0.0003490157755130532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.980315510261064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005584252408208851,0.0,0.0,0.07720228954348736,0.0
"X206682",0.007334963325183374,0.6332518337408313,0.07334963325183375,0.0,0.009779951100244499,0.0,0.0,0.04156479217603912,0.0,0.14180929095354522,0.0,0.009779951100244499,0.0,0.0,0.0,0.0,0.014669926650366748,0.02444987775061125,0.004889975550122249,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014669926650366748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022004889975550123,0.0,0.0,0.0,0.0
